id,N_standard_address
144,洪山柄北区74号402室
145,侨文里28号侨福社区402室
146,洪莲路1号1201室
147,店上东里82号(5628)莲前思明前埔南社区\\莲前\\702室
148,洪莲西里73号洪文社区|101室
149,20西林社115号公寓115号602室
150,53金磊花园22号C102室
151,67红星瑞景小区13号902室
152,瑞景公园1号301
153,瑞景新村55号502室
154,前埔南小区(店上东西里)27号3o6室
155,文兴东三里26号205室
156,前埔二里212号905室
157,前埔北区二里212號905室
158,文化站248号7o2室
159,91店上东西里小区&38号104室
160,洪文六里189号2楼或3楼
161,77前埔北/一里65号607室
162,东芳山庄15号
163,红星安华小区=5号1702室
164,福满山庄111 号、1101 室号、
165,侨文里4-9号E室
166,华林绿景花园176号602室
167,洪山柄北区77号102室
168,金鸡亭花园小区2号703室
169,83洪山柄北区147号102之1室
170,西林村113号606室
171,洪文三里17#瑞景社区C109室
172,洪文七里8号瑞景社区102室
173,前埔一里121号前埔北社区201室
174,国际会展中心A1馆安检门口
175,会展中心A4里面
176,"会展中心C1,4号门门口"
177,厦门国际会展中心B3馆 /
178,古楼北里43号-前埔南社区|702室
179,前埔五里162号莲薇社区|402室
180,莲前西路广顺花园703#102室
181,云顶岩路-33号莲云社区401室
182,洪莲西二里177号洪文社区|601室
183,洪文六里厦航洪文小区(洪文六里)24|202室
184,前埔一里207号309室
185,思明前埔二里50号<2887>莲前街道前埔北社区||莲前街道||604室
186,店上东里91号前埔南社区404室
187,前埔二里54号402室
188,田厝路前埔北区二里19$104室
189,文兴东二里30号(2686)莲前街道前埔南社区\\莲前街道\\406室
190,洪文二里105号瑞景-402室
191,洪文村洪文一里60号<4071>莲前街道瑞景社区||莲前街道||402室
192,前埔东一里12号前埔北社区|503室
193,洪文一里瑞景新村107#101室
194,莲前西路803号<8315>莲前街道|莲顺社区|莲前街道|1401室
195,前埔五里168号莲薇社区901室
196,云顶中路-701号莲顺社区202|
197,莲前西路-741号莲顺社区|741-5室
198,洪莲西里150号<5377>莲前街道洪文村洪文社区||莲前街道||101-2室
199,东浦路248-2号(6497)莲前龙山桥社区\\莲前\\101室
200,思明前埔一里203-15号<7914>莲前街道前埔北社区||莲前街道||201室
201,西林东里35号308室
202,思明前埔一里75号(6184)莲前思明前埔北社区\莲前\206室
203,前埔一里208号408室
204,文兴东一里9号107-707室
205,思明前埔一里184号(1848)莲前思明前埔北社区|莲前|903室
206,莲前东路383号(3675)莲前莲丰社区\\莲前\\1203室
207,洪莲里56号\1848\莲前莲丰社区|莲前|206室
208,洪文村洪文一里20号<3877>莲前街道瑞景社区||莲前街道||501室
209,洪文村洪文八里120号(4648)莲前街道\莲翔社区\\莲前街道\\401室
210,东浦路198号(8577)莲前龙山桥社区|莲前|504室
211,洪莲路11号<0932>莲前街道|莲丰社区||莲前街道||401室
212,思明前埔二里11号(1828)莲前街道前埔北社区||莲前街道||102室
213,东方山庄17号105
214,店上东里76号401室
215,思明前埔一里209号<8072>莲前街道前埔北社区||莲前街道||105室
216,西林东路413号2楼
217,莲前西路274号(9699)莲前莲怡社区\\莲前\\102室
218,莲前西路685号(6075)莲前莲顺社区\莲前\304室
219,前埔北/一里181号904室
220,洪文一里125号瑞景/301室
221,思明前埔二里41号(3474)莲前思明前埔北社区\\莲前\\704室
222,古兴里6号楼703
223,洪莲东二里49号(3057)莲前万景社区\\莲前\\402室
224,前埔东一里28号前埔东一里28号202室
225,东浦路190号<4619>莲前街道龙山桥社区|莲前街道|606室
226,思明前埔一里181号(6045)莲前思明前埔北社区\莲前\704室
227,瑞景//莲前東路186
228,莲薇-前埔南路56
229,前埔北社區/前埔東路19
230,前埔南社區 思明 文興東三裏43
231,蓮薇社区 思明 前埔五裏186
232,蓮順//東芳山莊46
233,蓮怡社区、蓮前西路316
234,洪文-洪蓮西裏94
235,莲豐社區/洪莲裏25
236,洪文//洪蓮西裏99
237,前埔北-田厝路110
238,僑福社区-潘宅-76
239,金雞亭社区/西林西裏87之4之3
240,蓮雲社区 思明 西林東裏233
241,蓮順社区、東芳山莊52
242,洪文社區 思明 蓮前東路698
243,蓮雲社区  西林東裏220
244,蓮薇社區-前埔南-64
245,前埔北社区、前埔二裏59
246,莲豐社區 思明 雲頂中路404
247,蓮薇//蓮前東路740
248,萬景社區-洪莲北二-1179
249,蓮豐社区-雲頂中-402
250,前埔北社区、前埔二裏211
251,蓮雲社区/西林東裏140
252,龍山橋社區/東浦路545
253,金雞亭社区、西林東裏125
254,瑞景社区-洪文一裏30
255,僑福社区、前埔西路351
256,蓮翔社區 思明 洪文八裏85
257,蓮薇社区-蓮前東-738
258,洪莲西里49-1号503室
259,洪莲里68-5号
260,洪文村洪文一里139号(6258)莲前瑞景社区\\莲前\\302室
261,洪莲里64号(4182)莲前莲丰社区\\莲前\\504室
262,洪文六里51号莲翔社区203室
263,文兴东三里27号前埔南-603室
264,思明前埔二里119号(9904)莲前思明前埔北社区\\莲前\\703室
265,店上东里78号前埔南社区|706室
266,店上东里78号前埔南社区706|
267,洪文一里102号瑞景社区|301室
268,前埔北/一里189號503室
269,店上西里前埔南小区(店上东西里)9#402室
270,莲前西路-727号莲顺/602室
271,前埔二里51号207室
272,思明前埔一里169号(937)莲前思明前埔北社区\\莲前\\106室
273,洪莲里新潘宅小区83$102室
274,洪文三里4号瑞景/701室
275,西林村东山社70号
276,西林路-50号莲怡-501室
277,洪莲东二里7号(3546)莲前万景社区\\莲前\\1303室
278,文兴东一里25号前埔南社区|503室
279,店上西里3号前埔南-206室
280,思明前埔一里212号<7179>莲前街道前埔北社区||莲前街道||617室
281,洪文村洪文七里5号<4271>莲前街道瑞景社区||莲前街道||1803室
282,莲前东路707号(7215)莲前思明前埔北社区\\莲前\\401室
283,西林西二里金沙花园38$802室
284,洪文石村社南片区16号
285,西林社98号101室
286,地质勘察院192号301室
287,西林西里87-4号203室
288,洪文四里17号瑞景-901室
289,洪文一里-45号瑞景社区501室
290,西林路-44号莲怡-305室
291,洪文六里11号702室
292,洪文六里11号莲翔社区702/
293,店上西里28号前埔南社区304室
294,前埔二里34号前埔北-606室
295,12侨福城小区一二三期16号401室
296,前埔一里43号前埔北/501室
297,店上东里52号前埔南社区706室
298,11联丰商城19号103室
299,店上东里94号前埔南社区304室
300,57古楼南里32号301室
301,洪莲里79号侨福-502室
302,云顶中路741号(9104)莲前街道|莲顺社区||莲前街道||302室
303,洪文村洪文三里11号\4479\莲前瑞景社区|莲前|604室
304,西林西二里38号莲怡社区302室
305,西林西二里38号莲怡社区302|
306,福满山庄117号102
307,洪文一里80#瑞景社区102室
308,洪莲里85号侨福社区502|
309,前埔五里207号莲薇-302室
310,洪莲里88号侨福-401室
311,西林西里102号金鸡亭-101室
312,洪文泥窟社北片区8号
313,洪文七里2号瑞景社区2001室
314,莲前西路-857号莲顺社区204室
315,西林东里147号莲云社区401/
316,87瑞景生活广场103号602室
317,洪莲里80号侨福社区501|
318,20前埔北/一里157号402室
319,洪莲里94号侨福社区801-2室
320,西林东里194-1号
321,云顶岩路67号\2979\莲前莲云社区|莲前|117室
322,东浦路240号(1226)莲前街道龙山桥社区\\莲前街道\\C109室
323,洪文村洪文一里29号<3103>莲前街道瑞景社区|莲前街道|C119室
324,西林村西林东里151号(7793)莲前莲云社区|莲前|501室
325,文兴东二里29号(9698)莲前街道前埔南社区\\莲前街道\\603室
326,店上西里40号前埔南社区305室
327,店上东里8号501室
328,店上东里8号(9565)莲前街道前埔南社区\\莲前街道\\501室
329,前埔二里214号501室
330,店上东里60号(9415)莲前思明前埔南社区\\莲前\\103室
331,西林村西林路48号(6552)莲前莲怡社区\\莲前\\301室
332,思明前埔二里186号(594)莲前思明前埔北社区\\莲前\\406室
333,莲前西路857号<5988>莲前街道|莲顺社区|莲前街道|404室
334,西林西里易地办安置房161#202室
335,思明前埔东一里13号<6939>莲前街道前埔北社区||莲前街道||502室
336,洪文村洪文一里39号(5232)莲前街道瑞景社区\\莲前街道\\702室
337,侨龙里11号202室
338,前埔一里148号-前埔北社区306室
339,莲前东路788号(5097)莲前莲薇社区\\莲前\\605室
340,思明前埔一里116号(5099)莲前思明前埔北社区\\莲前\\301室
341,洪莲西里146号(2754)莲前街道洪文村洪文社区\\莲前街道\\501室
342,侨兴里18号801
343,洪文六里66号莲翔社区1102|
344,莲前东路-850号莲薇-701室
345,思明前埔二里31号(9429)莲前思明前埔北社区|莲前|303室
346,洪莲路34号(5467)莲前街道\莲丰社区\\莲前街道\\102室
347,店上东里55号(5657)莲前街道前埔南社区\\莲前街道\\1301室
348,46云景花园147 号、502 室号、
349,洪莲西里71号(8891)莲前街道洪文村洪文社区\\莲前街道\\601-3室
350,云顶中路民盛安置房717#601-1室
351,西林村西林西二里2号(2343)莲前莲怡社区|莲前|102室
352,西林村西林西里30号(1587)莲前金鸡亭社区\\莲前\\C306室
353,西林村西林西里17号<952>莲前街道金鸡亭社区||莲前街道||C405室
354,西林东里165号莲云-C102室
355,93龙山桥部队小区178号C104室
356,洪莲里18-101号
357,前埔五里194号莲薇-201室
358,前埔一里96号前埔北-201室
359,宝龙国际中心一期1501
360,西林西二里37号莲怡-1102室
361,田厝路23号<5459>莲前街道前埔北社区|莲前街道|605室
362,西林村西林西里50号(4979)莲前金鸡亭社区\\莲前\\606室
363,思明前埔一里183号<9069>莲前街道前埔北社区||莲前街道||906室
364,莲前西路-122号龙山桥/406室
365,莲前东路914号(7601)莲前莲薇社区\\莲前\\202室
366,东盛花园前埔东一里13号404室
367,莲前西路260号(4843)莲前莲怡社区\\莲前\\103室
368,东浦路246号(7647)莲前龙山桥社区\\莲前\\402室
369,莲前西路743号\8873\莲前莲顺社区|莲前|502室
370,72店上东西里小区=93号406室
371,西林村西林东路204号<5545>莲前街道|莲云社区||莲前街道||203室
372,店上东里92号\6128\莲前思明前埔南社区|莲前|501室
373,思明前埔西路200号(1024)莲前莲薇社区\\莲前\\301室
374,洪文六里云景花园137|702室
375,文兴东三里21号404室
376,洪莲西里29号(1318)莲前街道|莲丰社区||莲前街道||503室
377,西林村西林西里76号(9575)莲前金鸡亭社区\莲前\201室
378,洪文村洪文五里71号<0313>莲前街道洪文村洪文社区||莲前街道||102室
379,洪文村洪文六里199号(9299)莲前洪文村洪文社区\莲前\203室
380,洪文石村社北片区67号
381,前埔东路200号402室
382,洪莲东二里5号(4046)莲前万景社区\\莲前\\1101室
383,西林社80号310室
384,东坪山社11-1号102室
385,59嘉盛豪园5号，1001室
386,金尚路-44-1号莲顺-203室
387,云顶岩路59号<3906>莲前街道|莲云社区|莲前街道|105室
388,洪文七里9号瑞景-103室
389,西林社95-103号
390,龙山桥部队小区/190号101
391,西林西二里金磊花园23#201室
392,东浦路-160#龙山桥社区202室
393,西林东里香榭园云顶花园147$201室
394,洪文六里厦航洪文小区(洪文六里)6|201室
395,莲前东路华林紫微小区780#703室
396,前埔二里前埔北区二里187#403室
397,洪文石村社北片区52号洪文石村社北片区52号
398,文兴东三里26号前埔南社区105|
399,洪文六里厦航洪文小区(洪文六里)8#201室
400,西林村西林东路167号<0458>莲前街道|莲云社区||莲前街道||601室
401,前埔北区|二里134号404室
402,万科金域蓝湾二期9号505
403,西林东路永裕侨建闽联云顶岩295$405室
404,洪莲西里洪山柄北区144$401室
405,东芳山庄17号莲顺-205室
406,前埔一里159号前埔北社区305室
407,前埔二里前埔北区二里130|206室
408,厦航洪文小区(洪文六里)66号602室
409,莲前东路华林紫微小区818#703室
410,都市新巢1号楼1508
411,莲前东路-619#莲薇社区904室
412,西林西里141-3号
413,云松居145号9o6室
414,洪文村洪文五里84号(1416)莲前洪文村洪文社区\莲前\1201室
415,洪文村洪文一里50号(3297)莲前瑞景社区\莲前\C105室
416,洪莲里联丰商城62$C107室
417,田厝路11号(3287)莲前街道前埔北社区||莲前街道||805-1室
418,洪文一里108号301室
419,21香榭园云顶花园１９６号６０６室
420,洪文八里52号
421,洪文六里24号402
422,前埔北区一里55号607
423,思明前埔东一里4号(5405)莲前思明前埔北社区\\莲前\\1002室
424,西林西里84号金鸡亭社区511室
425,前埔东一里5号前埔北-502室
426,18前埔北区|二里193号409室
427,西林村西林东里205号<3106>莲前街道|莲云社区|莲前街道|610室
428,洪文一里瑞景生活广场138$202室
429,51万科·金域蓝湾一期北区28號1702室
430,民盛安置房725号601室
431,洪文七里96-1号
432,金鸡亭花园小区。126号1室
433,洪文一里瑞景新村7$601室
434,洪文村洪文一里53号(5536)莲前瑞景社区\\莲前\\301室
435,洪莲里30号
436,西林村西林东里200号<5569>莲前街道|莲云社区|莲前街道|106室
437,洪莲西里74号洪文社区601室
438,洪文六里134号莲翔-401室
439,西林村东坪山社69号
440,莲前西路693号<9136>莲前街道|莲顺社区|莲前街道|101室
441,洪文六里56号莲翔-102室
442,洪莲东二里5号万景社区1501/
443,莲前西路726号<0071>莲前街道|莲云社区|莲前街道|1203室
444,西林社27号112室
445,西林社西林社83号公寓83$504室
446,西林村西林社93号<3705>莲前街道西林村西林社区|莲前街道|405室
447,西林村西林东里40号(9956)莲前金鸡亭社区|莲前|C514室
448,莲前西路162-1号(6969)莲前龙山桥社区|莲前|C119室
449,洪文八里厦航洪文小区(洪文六里)116$C102室
450,洪莲西路37号319室
451,莲前西路益友花园120#307室
452,金鸡亭小区西里8号205
453,东浦路194号\6259\莲前龙山桥社区|莲前|402室
454,洪莲西二里161号(2391)莲前洪文村洪文社区\\莲前\\602室
455,西林东里金鸡亭花园小区19#203室
456,岛内小区-民盛安置房-云顶中路717号301室
457,古楼北里古楼南里66#703室
458,洪莲西里嘉盛豪园33#902室
459,店上东里88号前埔南-201室
460,思明前埔一里65号<4759>莲前街道前埔北社区|莲前街道|108室
461,店上东里14号<2403>莲前街道前埔南社区||莲前街道||502室
462,古楼北里古楼南里36$206室
463,洪莲东二里51号<9327>莲前街道万景社区|莲前街道|1102室
464,西林东里100号金鸡亭-1室
465,洪文二里瑞景生活广场105$201室
466,洪文五里华瑞花园50$1001室
467,洪文村洪文六里145号(6222)莲前莲翔社区\\莲前\\302室
468,洪文村洪文六里138号(1769)莲前莲翔社区\莲前\201室
469,店上东里58号(4083)莲前街道前埔南社区||莲前街道||107室
470,洪莲路联丰商城13#1501室
471,洪莲东二里32号(1912)莲前万景社区\\莲前\\1101室
472,洪莲西里嘉盛豪园18$102室
473,西林村西林东路5号(571)莲前莲云社区|莲前|801室
474,洪莲里福满山庄95|1103室
475,前埔六里源泉山庄4$1701室
476,西林东路434号108室
477,洪莲西路31-9号209室
478,洪文四里红星瑞景小区13$1902室
479,店上东里38号前埔南社区702|
480,前埔二里前埔北区二里162|412室
481,前埔一里前埔北一里68#601室
482,前埔北区|二里206号405室
483,店上东里前埔南小区(店上东西里)72#103室
484,洪文六里厦航洪文小区(洪文六里)30$201室
485,思明前埔一里223号(8736)莲前思明前埔北社区\\莲前\\503室
486,莲前西路怡富花园一、二期254|302室
487,西林东路173号303室
488,西林东路水警鼓疗海军工程处173#303室
489,前埔一里明发建群雅苑小区43#902室
490,洪文一里瑞景新村23$601室
491,云顶中路民盛安置房737$302室
492,63绿洲花园856号502、
493,东浦三里庐山公寓17$201室
494,洪文五里华瑞花园54#205室
495,西林西二里28号莲怡社区502|
496,云顶岩路-45号莲云社区303|
497,西林东里香榭园云顶花园199#404室
498,永裕侨建闽联云顶岩303#303室
499,前埔二里前埔北区二里161#614室
500,洪文五里文兴社78$303室
501,前埔一里前埔北一里220$301室
502,洪文村洪文一里42号<4606>莲前街道瑞景社区|莲前街道|402室
503,莲前西路怡富花园一、二期292#204室
504,思明前埔一里90号<994>莲前街道前埔北社区|莲前街道|302室
505,东浦三里林海阳光小区29#208室
506,55西林社113号公寓113号505室
507,62香榭园云顶花园148号C101室
508,洪文三里洪文三里小区9#104室
509,侨福城小区/一二三期377号201
510,东山社64-1号101室
511,洪文一里瑞景新村15$502室
512,绿洲花园836号103室
513,思明前埔二里157号\1781\莲前思明前埔北社区|莲前|503室
514,西林村西林东里137号(1959)莲前街道|莲云社区||莲前街道||301室
515,文兴东三里16号203室
516,前埔一里41号前埔北-403室
517,云顶岩路永裕侨建闽联云顶岩37#101室
518,43店上东西里小区=1号301室
519,前埔一里59号前埔北-303室
520,洪文六里32号
521,东坪山社36号
522,洪莲西里嘉盛豪园E组团53#404室
523,厦门西林东里206号503室
524,瑞景公园9号1001室
525,思明前埔一里166号(1952)莲前街道前埔北社区||莲前街道||506室
526,店上东里80号<7874>莲前街道前埔南社区|莲前街道|202室
527,洪文泥窟社西片区1号洪文泥窟社西片区1号
528,46源泉山庄16 号、1402 室号、
529,莲前街道办事处1楼大厅
530,源泉山庄A区4号楼301
531,洪文一里19号瑞景-502室
532,洪莲北二路1535号
533,西林社85号301
534,莲前西路-282号莲怡社区602室
535,西林西里120号502室
536,洪文六里54号
537,店上东里40号204
538,洪莲路-98号莲丰社区501室
539,店上东西里小区=10号404室
540,洪莲路-44号莲丰-101室
541,洪文一里73号瑞景-702室
542,文兴东三里30号前埔南社区303室
543,金尚路-10号莲顺社区201/
544,前埔二里198号前埔北社区307/
545,文兴东三里24号(8934)莲前思明前埔南社区\\莲前\\604室
546,洪莲西里洪山柄北区136#102室
547,洪莲东二里52号万景-1002室
548,西林西里广场33号
549,莲前西路-725号莲顺--11室
550,前埔二里56号前埔北社区|505室
551,洪文一里126号瑞景社区102室
552,前埔一里71号前埔北-208室
553,东浦路-188号龙山桥社区303/
554,东浦三里11号<3758>莲前街道龙山桥社区|莲前街道|1102室
555,前埔五里201号莲薇-802室
556,思明前埔一里238号<4209>莲前街道前埔北社区|莲前街道|301室
557,洪莲东二里34号-万景社区203室
558,洪文一里90#瑞景/702室
559,洪文七里95-1#莲翔社区206室
560,云顶中路-684号莲丰-101室
561,洪莲中路533号店面
562,洪文村洪文六里64号<9895>莲前街道|莲翔社区|莲前街道|106室
563,莲前西路-108号龙山桥社区202|
564,莲前东路1188号BRT保障房1208
565,西林村西林东里146号(3516)莲前莲云社区\\莲前\\C104室
566,西林村西林西里6号(4886)莲前金鸡亭社区\\莲前\\C405室
567,东浦路-154号龙山桥社区C126|
568,洪文一里123号301室
569,前埔二里186号前埔北社区106|
570,侨文里27号(7642)莲前侨福社区\\莲前\\202室
571,莲前西路288号(4064)莲前莲怡社区\\莲前\\602室
572,洪莲西里168号204室
573,古楼南里16号前埔南/401室
574,东浦路龙山桥部队小区178$503室
575,洪莲东二里50号<5371>莲前街道万景社区||莲前街道||203室
576,洪文村洪文八里46号(9114)莲前莲翔社区\\莲前\\401室
577,洪文一里53号瑞景社区101室
578,店上东里100号(1214)莲前思明前埔南社区\\莲前\\102室
579,洪文村洪文一里83号(3657)莲前瑞景社区\\莲前\\202室
580,洪文五里58号瑞景社区202室
581,店上东里50号(4526)莲前街道前埔南社区||莲前街道||406室
582,洪文村洪文六里58号<7745>莲前街道|莲翔社区||莲前街道||702室
583,古楼北里古楼南里51#508室
584,西林西里118号金鸡亭社区1202室
585,莲前西路721号(3132)莲前街道|莲顺社区||莲前街道||603室
586,洪文23洪莲西里143号402室
587,西林西里40号金鸡亭社区418室
588,古楼南里12号前埔南社区|204室
589,思明前埔五里197号<9488>莲前街道|莲薇社区||莲前街道||405室
590,前埔东一里华林东盛花园17$303室
591,洪莲里21号莲丰社区604-3室
592,西林社西林社111号公寓111$105室
593,洪文七里瑞景公园36#104室
594,莲前东路华林紫微小区762$C103室
595,莲前西路龙山桥莲坂军休所136#C103室
596,云顶中路民盛安置房701#201室
597,莲前西路龙山桥莲坂军休所164$602室
598,西林西里金鸡亭花园小区57$702室
599,洪莲路108号501室
600,洪莲路益辉花园108#501室
601,洪文六里厦航洪文小区(洪文六里)37|501室
602,前埔一里前埔北一里164$602室
603,莲前西路益友花园118|507室
604,店上东里前埔南小区(店上东西里)59#406室
605,前埔五里华林绿景花园170$302室
606,西林东里香榭园云顶花园195$105室
607,西林西里金鸡亭花园小区69#301室
608,洪莲西里嘉盛豪园2$102室
609,洪文一里瑞景新村82#702室
610,73前埔北/一里144号113室
611,前埔一里前埔北一里66#106室
612,莲前东路822号(151)莲前莲薇社区|莲前|506室
613,莲前西路怡富花园一、二期224$202室
614,45前埔北区|二里188号3o2室
615,莲前东路华林紫微小区810$301室
616,洪莲里新潘宅小区79#401室
617,莲前西路龙山桥莲坂军休所140$502室
618,古楼南里31号402室
619,店上东里91号前埔南-303室
620,嘉盛豪园41栋303
621,33瑞景新村110号601室
622,洪文五里华瑞花园3#601-1室
623,莲前东路788-3号店面
624,益友花园122号101室
625,金鸡亭花园小区56号C707室
626,63联丰商城67号C112室
627,益友花圆130號202室
628,68金鸡亭花园小区29号502室
629,20瑞景新村6号，301室
630,前埔二里16栋143梯505
631,莲前东路750号<0949>莲前街道|莲薇社区|莲前街道|303室
632,华林绿景花园１７０号１００１室
633,洪文村洪文一里78号(3949)莲前瑞景社区|莲前|402室
634,西林村西林东里162号(6748)莲前莲云社区\\莲前\\501室
635,莲前东路-844号莲薇-101室
636,42国贸新城  28号603室
637,思明前埔一里200号<7285>莲前街道前埔北社区|莲前街道|205室
638,91前埔北区|二里162号312室
639,前埔二里182号前埔北社区105室
640,68广顺花园721号304室
641,47云顶至尊83 号、402 室号、
642,洪莲西里78号<7991>莲前街道洪文村洪文社区|莲前街道|602室
643,洪文六里139号莲翔-902室
644,57富山公寓１４６号５０４室
645,嘉盛豪园21号楼702室
646,85易地办安置房165 号、102 室号、
647,文兴东路46号
648,前埔不夜城文兴东路46号
649,西林东路21-9号102室
650,东坪山社35号201室
651,厦航洪文小区(洪文六 里 )19 号、112 室号、
652,西林东里194-10号
653,洪莲西里49-1号莲丰-302室
654,瑞景新村19号301室
655,红星安华小区9号B122室
656,42金鸡亭花园小区52号106之2室
657,思明前埔一里82号<9918>莲前街道前埔北社区|莲前街道|106室
658,65前埔北区|二里200号303室
659,69金鸡亭花园小区。42号901室
660,前埔北区|二里181号408室
661,文兴东三里23号4o4室
662,前埔二里204号602室
663,7怡富花园一、二期230号1103室
664,万景公寓49号1104室
665,店上东里99号-前埔南社区|304室
666,洪莲北二路1169号见福便利店
667,金鸡亭小区21号楼
668,莲前西路152号203
669,嘉盛豪园E组团54梯1803室
670,48金磊花园20号403室
671,洪莲西里143号洪文社区301室
672,玉成豪园801号 1301室
